Date;Time of day;Total[MWh]
Jan 4, 2020;9:15 PM;13,063
Jan 4, 2020;9:30 PM;12,972
Jan 4, 2020;9:45 PM;12,854
Jan 4, 2020;10:00 PM;12,872
Jan 4, 2020;10:15 PM;12,744
Jan 4, 2020;10:30 PM;12,594
Jan 4, 2020;10:45 PM;12,513
Jan 4, 2020;11:00 PM;12,269
Jan 4, 2020;11:15 PM;12,077
Jan 4, 2020;11:30 PM;11,894
Jan 4, 2020;11:45 PM;11,755
Jan 5, 2020;12:00 AM;11,398
Jan 5, 2020;12:15 AM;11,266
Jan 5, 2020;12:30 AM;11,182
Jan 5, 2020;12:45 AM;11,035
Jan 5, 2020;1:00 AM;10,836
Jan 5, 2020;1:15 AM;10,683
Jan 5, 2020;1:30 AM;10,596
Jan 5, 2020;1:45 AM;10,524
Jan 5, 2020;2:00 AM;10,500
Jan 5, 2020;2:15 AM;10,485
Jan 5, 2020;2:30 AM;10,482
Jan 5, 2020;2:45 AM;10,398
Jan 5, 2020;3:00 AM;10,216
Jan 5, 2020;3:15 AM;10,153
Jan 5, 2020;3:30 AM;10,191
Jan 5, 2020;3:45 AM;10,193
Jan 5, 2020;4:00 AM;10,219
Jan 5, 2020;4:15 AM;10,219
Jan 5, 2020;4:30 AM;10,131
Jan 5, 2020;4:45 AM;10,186
Jan 5, 2020;5:00 AM;10,229
Jan 5, 2020;5:15 AM;10,166
Jan 5, 2020;5:30 AM;10,037
Jan 5, 2020;5:45 AM;9,978
Jan 5, 2020;6:00 AM;9,922
Jan 5, 2020;6:15 AM;9,871
Jan 5, 2020;6:30 AM;9,910
Jan 5, 2020;6:45 AM;10,048
Jan 5, 2020;7:00 AM;10,333
Jan 5, 2020;7:15 AM;10,470
Jan 5, 2020;7:30 AM;10,497
Jan 5, 2020;7:45 AM;10,654
Jan 5, 2020;8:00 AM;10,739
Jan 5, 2020;8:15 AM;10,806
Jan 5, 2020;8:30 AM;10,999
Jan 5, 2020;8:45 AM;11,208
Jan 5, 2020;9:00 AM;11,423
Jan 5, 2020;9:15 AM;11,669
Jan 5, 2020;9:30 AM;11,877
Jan 5, 2020;9:45 AM;12,076
Jan 5, 2020;10:00 AM;12,341
Jan 5, 2020;10:15 AM;12,529
Jan 5, 2020;10:30 AM;12,721
Jan 5, 2020;10:45 AM;12,807
Jan 5, 2020;11:00 AM;12,943
Jan 5, 2020;11:15 AM;13,201
Jan 5, 2020;11:30 AM;13,291
Jan 5, 2020;11:45 AM;13,310
Jan 5, 2020;12:00 PM;13,264
Jan 5, 2020;12:15 PM;13,233
Jan 5, 2020;12:30 PM;13,202
Jan 5, 2020;12:45 PM;13,126
Jan 5, 2020;1:00 PM;13,053
Jan 5, 2020;1:15 PM;12,924
Jan 5, 2020;1:30 PM;12,849
Jan 5, 2020;1:45 PM;12,742
Jan 5, 2020;2:00 PM;12,742
Jan 5, 2020;2:15 PM;12,638
Jan 5, 2020;2:30 PM;12,542
Jan 5, 2020;2:45 PM;12,548
Jan 5, 2020;3:00 PM;12,588
Jan 5, 2020;3:15 PM;12,544
Jan 5, 2020;3:30 PM;12,500
Jan 5, 2020;3:45 PM;12,545
Jan 5, 2020;4:00 PM;12,653
Jan 5, 2020;4:15 PM;12,729
Jan 5, 2020;4:30 PM;12,970
Jan 5, 2020;4:45 PM;13,300
Jan 5, 2020;5:00 PM;13,663
Jan 5, 2020;5:15 PM;13,826
Jan 5, 2020;5:30 PM;13,959
Jan 5, 2020;5:45 PM;14,153
Jan 5, 2020;6:00 PM;14,202
Jan 5, 2020;6:15 PM;14,155
Jan 5, 2020;6:30 PM;14,063
Jan 5, 2020;6:45 PM;13,993
Jan 5, 2020;7:00 PM;13,896
Jan 5, 2020;7:15 PM;13,769
Jan 5, 2020;7:30 PM;13,616
Jan 5, 2020;7:45 PM;13,527
Jan 5, 2020;8:00 PM;13,343
Jan 5, 2020;8:15 PM;13,183
Jan 5, 2020;8:30 PM;13,024
Jan 5, 2020;8:45 PM;12,928
Jan 5, 2020;9:00 PM;12,850
Jan 5, 2020;9:15 PM;12,739
Jan 5, 2020;9:30 PM;12,706
Jan 5, 2020;9:45 PM;12,678
Jan 5, 2020;10:00 PM;12,840
Jan 5, 2020;10:15 PM;12,748
Jan 5, 2020;10:30 PM;12,530
Jan 5, 2020;10:45 PM;12,321
Jan 5, 2020;11:00 PM;12,093
Jan 5, 2020;11:15 PM;11,915
Jan 5, 2020;11:30 PM;11,773
Jan 5, 2020;11:45 PM;11,618
Jan 6, 2020;12:00 AM;11,402
Jan 6, 2020;12:15 AM;11,309
Jan 6, 2020;12:30 AM;11,310
Jan 6, 2020;12:45 AM;11,205
Jan 6, 2020;1:00 AM;11,058
Jan 6, 2020;1:15 AM;10,980
Jan 6, 2020;1:30 AM;10,859
Jan 6, 2020;1:45 AM;10,749
Jan 6, 2020;2:00 AM;10,756
Jan 6, 2020;2:15 AM;10,699
Jan 6, 2020;2:30 AM;10,671
Jan 6, 2020;2:45 AM;10,686
Jan 6, 2020;3:00 AM;10,790
Jan 6, 2020;3:15 AM;10,787
Jan 6, 2020;3:30 AM;10,805
Jan 6, 2020;3:45 AM;10,832
Jan 6, 2020;4:00 AM;11,005
Jan 6, 2020;4:15 AM;11,083
Jan 6, 2020;4:30 AM;11,142
Jan 6, 2020;4:45 AM;11,234
Jan 6, 2020;5:00 AM;11,569
Jan 6, 2020;5:15 AM;11,682
Jan 6, 2020;5:30 AM;11,782
Jan 6, 2020;5:45 AM;12,078
Jan 6, 2020;6:00 AM;12,549
Jan 6, 2020;6:15 AM;12,781
Jan 6, 2020;6:30 AM;13,089
Jan 6, 2020;6:45 AM;13,403
Jan 6, 2020;7:00 AM;13,763
Jan 6, 2020;7:15 AM;14,294
Jan 6, 2020;7:30 AM;14,526
Jan 6, 2020;7:45 AM;14,492
Jan 6, 2020;8:00 AM;14,748
Jan 6, 2020;8:15 AM;14,835
Jan 6, 2020;8:30 AM;14,933
Jan 6, 2020;8:45 AM;14,993
Jan 6, 2020;9:00 AM;15,133
Jan 6, 2020;9:15 AM;15,266
Jan 6, 2020;9:30 AM;15,329
Jan 6, 2020;9:45 AM;15,403
Jan 6, 2020;10:00 AM;15,507
Jan 6, 2020;10:15 AM;15,587
Jan 6, 2020;10:30 AM;15,581
Jan 6, 2020;10:45 AM;15,662
Jan 6, 2020;11:00 AM;15,679
Jan 6, 2020;11:15 AM;15,831
Jan 6, 2020;11:30 AM;15,860
Jan 6, 2020;11:45 AM;15,821
Jan 6, 2020;12:00 PM;15,822
Jan 6, 2020;12:15 PM;15,883
Jan 6, 2020;12:30 PM;15,889
Jan 6, 2020;12:45 PM;15,810
Jan 6, 2020;1:00 PM;15,787
Jan 6, 2020;1:15 PM;15,656
Jan 6, 2020;1:30 PM;15,483
Jan 6, 2020;1:45 PM;15,446
Jan 6, 2020;2:00 PM;15,483
Jan 6, 2020;2:15 PM;15,387
Jan 6, 2020;2:30 PM;15,367
Jan 6, 2020;2:45 PM;15,341
Jan 6, 2020;3:00 PM;15,378
Jan 6, 2020;3:15 PM;15,329
Jan 6, 2020;3:30 PM;15,305
Jan 6, 2020;3:45 PM;15,252
Jan 6, 2020;4:00 PM;15,362
Jan 6, 2020;4:15 PM;15,421
Jan 6, 2020;4:30 PM;15,594
Jan 6, 2020;4:45 PM;15,900
Jan 6, 2020;5:00 PM;16,262
Jan 6, 2020;5:15 PM;16,490
Jan 6, 2020;5:30 PM;16,603
Jan 6, 2020;5:45 PM;16,663
Jan 6, 2020;6:00 PM;16,619
Jan 6, 2020;6:15 PM;16,614
Jan 6, 2020;6:30 PM;16,541
Jan 6, 2020;6:45 PM;16,441
Jan 6, 2020;7:00 PM;16,370
Jan 6, 2020;7:15 PM;16,276
Jan 6, 2020;7:30 PM;16,183
Jan 6, 2020;7:45 PM;16,002
Jan 6, 2020;8:00 PM;15,731
Jan 6, 2020;8:15 PM;15,406
Jan 6, 2020;8:30 PM;15,183
Jan 6, 2020;8:45 PM;15,029
Jan 6, 2020;9:00 PM;14,898
Jan 6, 2020;9:15 PM;14,782
Jan 6, 2020;9:30 PM;14,653
Jan 6, 2020;9:45 PM;14,489
Jan 6, 2020;10:00 PM;14,443
Jan 6, 2020;10:15 PM;14,302
Jan 6, 2020;10:30 PM;14,013
Jan 6, 2020;10:45 PM;13,819
Jan 6, 2020;11:00 PM;13,493
Jan 6, 2020;11:15 PM;13,298
Jan 6, 2020;11:30 PM;13,100
Jan 6, 2020;11:45 PM;13,013
Jan 7, 2020;12:00 AM;12,756
Jan 7, 2020;12:15 AM;12,677
Jan 7, 2020;12:30 AM;12,673
Jan 7, 2020;12:45 AM;12,603
Jan 7, 2020;1:00 AM;12,537
Jan 7, 2020;1:15 AM;12,437
Jan 7, 2020;1:30 AM;12,376
Jan 7, 2020;1:45 AM;12,267
Jan 7, 2020;2:00 AM;12,083
Jan 7, 2020;2:15 AM;12,009
Jan 7, 2020;2:30 AM;11,992
Jan 7, 2020;2:45 AM;12,021
Jan 7, 2020;3:00 AM;12,064
Jan 7, 2020;3:15 AM;12,098
Jan 7, 2020;3:30 AM;12,146
Jan 7, 2020;3:45 AM;12,246
Jan 7, 2020;4:00 AM;12,407
Jan 7, 2020;4:15 AM;12,438
Jan 7, 2020;4:30 AM;12,535
Jan 7, 2020;4:45 AM;12,675
Jan 7, 2020;5:00 AM;12,994
Jan 7, 2020;5:15 AM;13,134
Jan 7, 2020;5:30 AM;13,390
Jan 7, 2020;5:45 AM;13,723
Jan 7, 2020;6:00 AM;14,444
Jan 7, 2020;6:15 AM;14,907
Jan 7, 2020;6:30 AM;15,313
Jan 7, 2020;6:45 AM;15,756
Jan 7, 2020;7:00 AM;16,240
Jan 7, 2020;7:15 AM;16,515
Jan 7, 2020;7:30 AM;16,802
Jan 7, 2020;7:45 AM;16,971
Jan 7, 2020;8:00 AM;17,230
Jan 7, 2020;8:15 AM;17,325
Jan 7, 2020;8:30 AM;17,344
Jan 7, 2020;8:45 AM;17,299
Jan 7, 2020;9:00 AM;17,271
Jan 7, 2020;9:15 AM;17,315
Jan 7, 2020;9:30 AM;17,378
Jan 7, 2020;9:45 AM;17,444
Jan 7, 2020;10:00 AM;17,364
Jan 7, 2020;10:15 AM;17,467
Jan 7, 2020;10:30 AM;17,508
Jan 7, 2020;10:45 AM;17,556
Jan 7, 2020;11:00 AM;17,543
Jan 7, 2020;11:15 AM;17,499
Jan 7, 2020;11:30 AM;17,530
Jan 7, 2020;11:45 AM;17,517
Jan 7, 2020;12:00 PM;17,387
Jan 7, 2020;12:15 PM;17,325
Jan 7, 2020;12:30 PM;17,328
Jan 7, 2020;12:45 PM;17,327
Jan 7, 2020;1:00 PM;17,402
Jan 7, 2020;1:15 PM;17,433
Jan 7, 2020;1:30 PM;17,378
Jan 7, 2020;1:45 PM;17,252
Jan 7, 2020;2:00 PM;17,209
Jan 7, 2020;2:15 PM;17,218
Jan 7, 2020;2:30 PM;17,245
Jan 7, 2020;2:45 PM;17,183
Jan 7, 2020;3:00 PM;17,136
Jan 7, 2020;3:15 PM;17,029
Jan 7, 2020;3:30 PM;16,983
Jan 7, 2020;3:45 PM;16,941
Jan 7, 2020;4:00 PM;17,020
Jan 7, 2020;4:15 PM;17,062
Jan 7, 2020;4:30 PM;17,150
Jan 7, 2020;4:45 PM;17,342
Jan 7, 2020;5:00 PM;17,557
Jan 7, 2020;5:15 PM;17,723
Jan 7, 2020;5:30 PM;17,772
Jan 7, 2020;5:45 PM;17,861
Jan 7, 2020;6:00 PM;17,740
Jan 7, 2020;6:15 PM;17,698
Jan 7, 2020;6:30 PM;17,632
Jan 7, 2020;6:45 PM;17,608
Jan 7, 2020;7:00 PM;17,425
Jan 7, 2020;7:15 PM;17,294
