"","country","t","date","actual","fct","dif","index","index_pc"
"480","FL",58,2020-05-30,0.750308,0.719159205019274,4.15146779465581,99.116821446401,-0.883178553599009
"481","FL",59,2020-05-31,0.76171,0.738547568127605,3.04084649963832,99.192657968637,-0.807342031363035
"482","FL",60,2020-06-01,0.785235,0.749386333529849,4.56534240961639,99.2976859645825,-0.70231403541753
"483","FL",61,2020-06-02,0.74606,0.720411868635892,3.43781081469428,99.3732957526024,-0.626704247397612
"484","FL",62,2020-06-03,0.669964,0.692605953203434,-3.37957758975618,99.3289889407084,-0.671011059291573
"485","FL",63,2020-06-04,0.637757,0.687148601495177,-7.74458006657356,99.222350637541,-0.777649362458959
"486","FL",64,2020-06-05,0.679635,0.725274316440185,-6.71526870160963,99.1287159886748,-0.871284011325201
"487","FL",65,2020-06-06,0.654897,0.658036264046603,-0.479352332749005,99.1346964260696,-0.865303573930376
"488","FL",66,2020-06-07,0.699412,0.694523763091484,0.698906639937043,99.1594246721737,-0.840575327826315
"489","FL",67,2020-06-08,0.775078,0.750765457934453,3.13678649962281,99.227747098069,-0.772252901931012
"490","FL",68,2020-06-09,0.797024,0.756928173398702,5.030692501267,99.3285425825393,-0.671457417460729
"491","FL",69,2020-06-10,0.807218,0.771819005565365,4.38530786412532,99.4160960133047,-0.583903986695304
"492","FL",70,2020-06-11,0.777198,0.7623055959801,1.91616602460375,99.4571539530863,-0.542846046913695
"493","FL",71,2020-06-12,0.762935,0.750546509186727,1.62379374563664,99.4915493955188,-0.508450604481226
"494","FL",72,2020-06-13,0.721976,0.709235379145708,1.7646875871624,99.5252036477083,-0.474796352291676
"495","FL",73,2020-06-14,0.713613,0.720862201620401,-1.0158449496297,99.5174407984778,-0.482559201522221
"496","FL",74,2020-06-15,0.735154,0.755318360254983,-2.7428756770667,99.4844339710467,-0.51556602895333
"497","FL",75,2020-06-16,0.717845,0.728940935558652,-1.54572861253506,99.469983205958,-0.530016794042041
"498","FL",76,2020-06-17,0.724409,0.730716153877073,-0.870661998549581,99.4652573057689,-0.534742694231099
"499","FL",77,2020-06-18,0.732265,0.754795277315325,-3.07679287079469,99.4298709027243,-0.570129097275739
"500","FL",78,2020-06-19,0.727197,0.747505739688785,-2.79274250152088,99.3995996709995,-0.60040032900055
"501","FL",79,2020-06-20,0.748131,0.749856704063298,-0.230668701510561,99.4047641227899,-0.595235877210101
"502","FL",80,2020-06-21,0.775899,0.748030910244641,3.59171615833487,99.4640587023625,-0.535941297637493
"503","FL",81,2020-06-22,0.827834,0.780423294857946,5.72707875516753,99.5573743805335,-0.442625619466497
"504","FL",82,2020-06-23,0.836057,0.791495667246394,5.32993955598795,99.6430809797215,-0.356919020278468
"505","FL",83,2020-06-24,0.865279,0.804782400238904,6.99157147707221,99.7544788857388,-0.245521114261237
"506","FL",84,2020-06-25,0.875364,0.807159645699091,7.79154206717537,99.8761344972135,-0.123865502786501
"507","FL",85,2020-06-26,0.873268,0.799739861445108,8.41988239061681,100.003533970121,0.00353397012119672
"508","FL",86,2020-06-27,0.851195,0.780942873905155,8.25335276814892,100.122010125676,0.122010125676326
"509","FL",87,2020-06-28,0.846417,0.784419262173004,7.32472738933599,100.223647081967,0.22364708196703
"510","FL",88,2020-06-29,0.876069,0.817207538085778,6.71881574558878,100.317337475875,0.317337475874552
"511","FR",0,2020-03-16,4.025931,4.15729824629888,-3.2630277642335,100,0
"512","FR",1,2020-03-17,3.423909,4.20680558363119,-22.8655780171492,89.0691955944105,-10.9308044055895
"513","FR",2,2020-03-18,3.589782,4.24974958068486,-18.3846144608462,87.5198215852884,-12.4801784147116
"514","FR",3,2020-03-19,3.405906,4.22236135740417,-23.9717525205972,85.8003310069418,-14.1996689930582
"515","FR",4,2020-03-20,3.32583,4.21219894177858,-26.6510597889422,84.430866121411,-15.569133878589
"516","FR",5,2020-03-21,3.260979,3.97104844857302,-21.7747323295556,84.0639053983951,-15.9360946016049
"517","FR",6,2020-03-22,3.304836,3.72781040892222,-12.7986504904396,84.6590678925468,-15.3409321074532
"518","FR",7,2020-03-23,3.561882,4.09997766567058,-15.1070604155494,84.9357398324996,-15.0642601675004
"519","FR",8,2020-03-24,3.653574,4.28838848225314,-17.3751642160016,84.9658982358395,-15.0341017641605
"520","FR",9,2020-03-25,3.71754,4.37817515557318,-17.7707611908192,84.9600788541787,-15.0399211458213
"521","FR",10,2020-03-26,3.785685,4.43816263785903,-17.2353916889289,84.9927619384317,-15.0072380615683
"522","FR",11,2020-03-27,3.708225,4.2305172142505,-14.084695892253,85.2171261877443,-14.7828738122557
"523","FR",12,2020-03-28,3.372978,3.72420091930326,-10.4128434666119,85.5868780421942,-14.4131219578058
"524","FR",13,2020-03-29,3.298791,3.66242024028743,-11.0231063528254,85.872169653656,-14.127830346344
"525","FR",14,2020-03-30,3.973086,4.16128723208547,-4.73690305433788,86.5196599576164,-13.4803400423836
"526","FR",15,2020-03-31,3.889863,4.14786037821786,-6.63255693626907,86.9767884456092,-13.0232115543908
"527","FR",16,2020-04-01,3.767556,4.1366673558282,-9.7971033696169,87.2190447552127,-12.7809552447873
"528","FR",17,2020-04-02,3.753372,4.14612540449491,-10.4640148776861,87.4039949657756,-12.5960050342244
"529","FR",18,2020-04-03,3.645552,4.06747707451955,-11.573695136417,87.5195724154128,-12.4804275845872
"530","FR",19,2020-04-04,3.307545,3.58716062932261,-8.45387226243673,87.7250065433755,-12.2749934566245
"531","FR",20,2020-04-05,3.006339,3.3100214840219,-10.1014051982129,87.8455605231319,-12.1544394768681
"532","FR",21,2020-04-06,3.189507,3.74014402681909,-17.2640168784421,87.7374836009172,-12.2625163990828
"533","FR",22,2020-04-07,3.212181,3.81878810055696,-18.8845865334787,87.588238188002,-12.411761811998
"534","FR",23,2020-04-08,3.112524,3.85787651761139,-23.946884188247,87.3121711610328,-12.6878288389672
"535","FR",24,2020-04-09,3.026907,3.82032838178489,-26.2122814405892,87.0045825950416,-12.9954174049584
"536","FR",25,2020-04-10,2.93589,3.50294363992466,-19.3145397111154,86.8969133740627,-13.1030866259373
"537","FR",26,2020-04-11,2.753358,3.42722290089717,-24.474292877903,86.6874002859783,-13.3125997140217
"538","FR",27,2020-04-12,2.657388,3.00344832686469,-13.0225743047193,86.7361568130866,-13.2638431869134
"539","FR",28,2020-04-13,2.711532,3.33477148921835,-22.9847735235414,86.5769394783906,-13.4230605216094
"540","FR",29,2020-04-14,3.050988,3.71630831842046,-21.8067169854639,86.4350720008497,-13.5649279991503
"541","FR",30,2020-04-15,3.153723,3.67225112721198,-16.4417777722387,86.4182235956155,-13.5817764043845
"542","FR",31,2020-04-16,3.087906,3.616142049336,-17.1066104128818,86.3884571238155,-13.6115428761845
"543","FR",32,2020-04-17,2.98902,3.56969145852447,-19.4268174359647,86.3145279410451,-13.6854720589549
"544","FR",33,2020-04-18,2.762805,3.25315375750719,-17.7482217350551,86.280190708164,-13.719809291836
"545","FR",34,2020-04-19,2.685906,3.10566327340672,-15.628144596524,86.284897601444,-13.715102398556
"546","FR",35,2020-04-20,2.98377,3.43532291423467,-15.1336367828174,86.2991042490862,-13.7008957509138
"547","FR",36,2020-04-21,3.056583,3.54926466497956,-16.1187072289403,86.2945824144519,-13.7054175855481
"548","FR",37,2020-04-22,3.071499,3.55610210653432,-15.7774137818153,86.2964951909274,-13.7035048090726
"549","FR",38,2020-04-23,3.05994,3.54064801023603,-15.7097201329448,86.2995123367575,-13.7004876632425
"550","FR",39,2020-04-24,2.988714,3.52841709736584,-18.0580375829149,86.2625200297365,-13.7374799702635
"551","FR",40,2020-04-25,2.735082,3.26000278183059,-19.1921405585132,86.212930846676,-13.787069153324
"552","FR",41,2020-04-26,2.678649,3.08303442594437,-15.0966187038454,86.2259733790883,-13.7740266209117
"553","FR",42,2020-04-27,2.986881,3.46638920305599,-16.053810080013,86.2247097751951,-13.7752902248049
"554","FR",43,2020-04-28,3.070302,3.64905462491313,-18.8500227310906,86.178773938017,-13.821226061983
"555","FR",44,2020-04-29,3.106245,3.69959246455029,-19.1017599883553,86.1303375568731,-13.8696624431269
"556","FR",45,2020-04-30,3.126792,3.73466009361514,-19.4406309602665,86.0784019606189,-13.9215980393811
"557","FR",46,2020-05-01,2.830611,3.41974748634161,-20.8130501273967,86.0143444436594,-13.9856555563406
"558","FR",47,2020-05-02,2.864673,3.34629125490391,-16.8123291874469,86.0067721471515,-13.9932278528485
"559","FR",48,2020-05-03,2.764908,3.07807813908367,-11.3266025156594,86.0710396402471,-13.9289603597529
"560","FR",49,2020-05-04,3.031611,3.39297464056392,-11.9198551715218,86.1307498104993,-13.8692501895007
"561","FR",50,2020-05-05,3.064083,3.50439229565461,-14.3700185554572,86.1548391735783,-13.8451608264217
"562","FR",51,2020-05-06,3.047487,3.49842716751569,-14.7971153778732,86.1721291458217,-13.8278708541783
"563","FR",52,2020-05-07,3.029022,3.43992065032556,-13.5653900937518,86.2050491959967,-13.7949508040033
"564","FR",53,2020-05-08,2.748408,3.16986536893212,-15.3345998458789,86.2129644949951,-13.7870355050049
"565","FR",54,2020-05-09,2.68776,3.09802063139234,-15.2640351591044,86.2212715667713,-13.7787284332287
"566","FR",55,2020-05-10,2.629674,2.93038864240038,-11.4354342933907,86.2713119316359,-13.7286880683641
"567","FR",56,2020-05-11,3.124575,3.31742292586044,-6.17197301586416,86.3967958396259,-13.6032041603741
