date,cons
23/07/2016,1005194
24/07/2016,939116
25/07/2016,1116463
26/07/2016,1137172
27/07/2016,1134839
28/07/2016,1133491
29/07/2016,1111920
30/07/2016,989429
31/07/2016,911592
,
01/08/2016,1028955
02/08/2016,1055487
03/08/2016,1065029
04/08/2016,1058638
05/08/2016,1025094
06/08/2016,935337
07/08/2016,890292
08/08/2016,1006762
09/08/2016,1014236
10/08/2016,1000822
11/08/2016,1005328
12/08/2016,1014595
13/08/2016,949643
14/08/2016,890761
15/08/2016,913126
16/08/2016,1038299
17/08/2016,1055383
18/08/2016,1054189
19/08/2016,1050270
20/08/2016,957582
21/08/2016,890459
22/08/2016,1057095
23/08/2016,1115345
24/08/2016,1139336
25/08/2016,1156213
26/08/2016,1152034
27/08/2016,1038786
28/08/2016,955808
29/08/2016,1119164
30/08/2016,1148761
31/08/2016,1161710
,
01/09/2016,1167457
02/09/2016,1159522
03/09/2016,1027217
04/09/2016,962795
05/09/2016,1137803
06/09/2016,1175236
07/09/2016,1170840
08/09/2016,1167128
09/09/2016,1154060
10/09/2016,1021218
11/09/2016,956569
12/09/2016,1142796
13/09/2016,1173105
14/09/2016,1155905
15/09/2016,1141485
16/09/2016,1124905
17/09/2016,995120
18/09/2016,944115
19/09/2016,1114576
20/09/2016,1140782
21/09/2016,1142026
22/09/2016,1143630
23/09/2016,1129882
24/09/2016,1001501
25/09/2016,937616
26/09/2016,1116741
27/09/2016,1148931
28/09/2016,1147431
29/09/2016,1148445
30/09/2016,1137572
,
01/10/2016,1019734
02/10/2016,965625
03/10/2016,1140110
04/10/2016,1176237
05/10/2016,1189455
06/10/2016,1217676
07/10/2016,1234257
08/10/2016,1104702
09/10/2016,1061685
10/10/2016,1286102
11/10/2016,1335069
12/10/2016,1371555
13/10/2016,1393221
14/10/2016,1362768
15/10/2016,1176944
16/10/2016,1093968
17/10/2016,1257988
18/10/2016,1299516
19/10/2016,1334827
20/10/2016,1352429
21/10/2016,1355963
