date,hour,value
20170212,23,29490.767
20170212,24,26583.145
20170213,1,24469.781
20170213,2,23006.639
20170213,3,22569.571
20170213,4,22469.436
20170213,5,22799.382
20170213,6,24675.523
20170213,7,30227.973
20170213,8,36617.08
20170213,9,41827.026
20170213,10,43077.41
20170213,11,42407.192
20170213,12,41886.218
20170213,13,40230.603
20170213,14,40119.935
20170213,15,41187.413
20170213,16,41720.719
20170213,17,42565.364
20170213,18,43474.407
20170213,19,44656.677
20170213,20,43419.805
20170213,21,41037.748
20170213,22,38137.182
20170213,23,33985.518
20170213,24,30587.02
20170214,1,27979.622
20170214,2,26410.985
20170214,3,25346.339
20170214,4,25325.601
20170214,5,25513.816
20170214,6,27343.388
20170214,7,32661.599
20170214,8,38314.313
20170214,9,42913.987
20170214,10,43899.009
20170214,11,43249.098
20170214,12,42665.714
20170214,13,40786.623
20170214,14,40277.736
20170214,15,41594.163
20170214,16,42037.319
20170214,17,42911.758
20170214,18,43949.109
20170214,19,44975.763
20170214,20,43776.662
20170214,21,41480.178
20170214,22,38361.357
20170214,23,34079.49
20170214,24,31067.627
20170215,1,28196.822
20170215,2,26665.371
20170215,3,26324.684
20170215,4,26136.067
20170215,5,26276.9
20170215,6,27877.812
20170215,7,32165.478
20170215,8,38315.403
20170215,9,42447.605
20170215,10,43537.686
20170215,11,43294.093
20170215,12,42291.564
20170215,13,40239.16
20170215,14,39752.292
20170215,15,40555.022
20170215,16,41380.851
20170215,17,42300.308
20170215,18,43192.71
20170215,19,44031.657
20170215,20,43426.256
20170215,21,40925.739
20170215,22,37727.669
20170215,23,33472.607
20170215,24,30307.795
20170216,1,28142.807
20170216,2,27216.227
20170216,3,26328.622
20170216,4,26221.046
20170216,5,26414.603
20170216,6,27735.363
20170216,7,32789.997
20170216,8,38518.47
20170216,9,41855.513
20170216,10,42530.061
20170216,11,41553.594
20170216,12,41126.606
20170216,13,39840.987
20170216,14,38669.621
20170216,15,39512.063
20170216,16,40062.601
20170216,17,40981.302
20170216,18,42389.281
20170216,19,44824.89
20170216,20,43999.43
20170216,21,41138.525
20170216,22,38131.157
20170216,23,33662.086
20170216,24,30462.212
20170217,1,28374.941
20170217,2,26537.971
20170217,3,25753.711
20170217,4,26026.471
20170217,5,26305.914
20170217,6,27816.797
20170217,7,33164.149
20170217,8,39103.494
20170217,9,42308.538
20170217,10,42694.034
20170217,11,41477.807
20170217,12,41191.868
20170217,13,39221.783
20170217,14,38618.15
20170217,15,39537.127
20170217,16,40234.246
20170217,17,40796.682
20170217,18,42207.139
20170217,19,44971.37
20170217,20,43369.31
20170217,21,41194.49
20170217,22,37862.747
20170217,23,33404.401
20170217,24,30655.005
20170218,1,28334.104
20170218,2,26291.337
20170218,3,25401.225
20170218,4,24883.591
20170218,5,24744.445
20170218,6,25737.802
20170218,7,28125.236
20170218,8,31459.204
20170218,9,33471.758
20170218,10,34325.915
20170218,11,33983.803
20170218,12,33004.531
20170218,13,31535.375
20170218,14,30133.518
20170218,15,29942.595
20170218,16,30327.342
20170218,17,31371.719
20170218,18,34227.227
20170218,19,38181.069
20170218,20,38303.659
20170218,21,36345.346
20170218,22,33547.442
20170218,23,30484.838
20170218,24,28028.381
20170219,1,25749.346
20170219,2,23900.419
20170219,3,23050.72
20170219,4,22377.313
20170219,5,22317.402
20170219,6,22608.575
20170219,7,23682.652
20170219,8,24597.157
20170219,9,26466.762
20170219,10,28084.732
20170219,11,29079.135
